neotoma_names,taxon_name
Aesculus,aesculus
Aesculus-type,aesculus_type
Aesculus hippocastanum,aesculus_hippocastanum
Aetanthus,aetanthus
Aethusa,aethusa
Aethusa-type,aethusa_type
Aethusa cynapium,aethusa_cynapium
Aethusa cynapium-type,aethusa_cynapium_type
Aextoxicon punctatum,aextoxicon_punctatum
aff. Astronium,aff_astronium
aff. Casuarina,aff_casuarina
aff. Colubrina,aff_colubrina
aff. Corylus,aff_corylus
aff. Dalechampia,aff_dalechampia
aff. Fissicalyx,aff_fissicalyx
aff. Gaylussacia,aff_gaylussacia
aff. Malvaceae,aff_malvaceae
aff. Melanoxylon,aff_melanoxylon
aff. Miconia,aff_miconia
aff. Posoqueria,aff_posoqueria
aff. Trichilia,aff_trichilia
aff. Triumfetta,aff_triumfetta
aff. Viola,aff_viola
Afraegle,afraegle
Afraegle-type (A. paniculata),afraegle_type_a_paniculata
Afraegle paniculata,afraegle_paniculata
Afrocarpus,afrocarpus
Afrocayratia ibuensis,afrocayratia_ibuensis
Afzelia,afzelia
Afzelia africana-type,afzelia_africana_type
Afzelia cf. A. africana,afzelia_cf_a_africana
Agarista,agarista
Agastache,agastache
Agastachys,agastachys
Agastachys odorata,agastachys_odorata
Agathis,agathis
Agathis australis,agathis_australis
Agathis robusta,agathis_robusta
Agathosma,agathosma
Agathosma-type,agathosma_type
Agave,agave
Agave sp.,agave_sp
Agavoideae,agavoideae
Aglaia comp.,aglaia_comp
Agoseris,agoseris
Agoseris-type,agoseris_type
Agoseris glauca-type,agoseris_glauca_type
Agrimonia,agrimonia
Agrimonia-type,agrimonia_type
Agrimonia eupatoria,agrimonia_eupatoria
Agrimonia eupatoria-type,agrimonia_eupatoria_type
Agropyron-type,agropyron_type
Agrostemma,agrostemma
Agrostemma-type,agrostemma_type
Agrostemma githago,agrostemma_githago
Agrostis,agrostis
Aidia,aidia
Aidia-type,aidia_type
Aidia-type (A. micrantha),aidia_type_a_micrantha
Aidia-type micrantha,aidia_type_micrantha
Aidia micrantha-type,aidia_micrantha_type
Ailanthus,ailanthus
Ailanthus altissima,ailanthus_altissima
Aizoaceae,aizoaceae
Aizoaceae-type,aizoaceae_type
Aizoaceae undiff.,aizoaceae_undiff
Ajuga,ajuga
Ajugoideae cf. Clerodendrum,ajugoideae_cf_clerodendrum
Alangium,alangium
Alangium chinense,alangium_chinense
Albizia,albizia
Albizia-type,albizia_type
Alchemilla,alchemilla
Alchemilla-type,alchemilla_type
